uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration,clean_name,GICS Sector,GICS Sub-Industry
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,aeroports de Paris,729,,6.0,,18,AEROPORTS DE PARIS,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,engie,756,,52.0,,72,ENGIE,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,Euroapi,3,0,1.0,,0,EUROAPI,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,Kering,2845,,10.0,,140,KERING,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,L'Oreal,29247,,73.0,,438,L OREAL,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,Puma,459,,10.0,,6,PUMA,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,Quadient,1321,,72.0,,43,QUADIENT,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,Sanofi,2859,,30.0,,106,SANOFI,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,SLE Brest Leon,16520,,826.0,,346,SLE BREST LEON,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,total energies SE,8684,0,139.0,,394,TOTAL ENERGIES,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,worldline,567,,54.0,,0,WORLDLINE,,
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,mirova actions euro d fcp,5876,0,72.0,,0,MIROVA ACTIONS EURO D FCP,,
392756b2-62de-4f90-b133-e80e12dfc8c8,AIRBUS,5094,,33.0,"
        [Données non publiées]
    ",92,AIRBUS,,
392756b2-62de-4f90-b133-e80e12dfc8c8,ARKEMA,3503,,34.0,"
        [Données non publiées]
    ",116,ARKEMA,,
392756b2-62de-4f90-b133-e80e12dfc8c8,ASML HOLDING,8769,,11.0,"
        [Données non publiées]
    ",66,ASML HOLDING,,
392756b2-62de-4f90-b133-e80e12dfc8c8,AXA ACT,2797,,82.0,"
        [Données non publiées]
    ",178,AXA ACT,,
392756b2-62de-4f90-b133-e80e12dfc8c8,BNP PARIBAS,5520,,94.0,"
        [Données non publiées]
    ",449,BNP PARIBAS,,
392756b2-62de-4f90-b133-e80e12dfc8c8,DASSAULT SYSTEMES,2042,,62.0,"
        [Données non publiées]
    ",15,DASSAULT SYSTEMES,,
392756b2-62de-4f90-b133-e80e12dfc8c8,EIFFAGE ACT,3443,,35.0,"
        [Données non publiées]
    ",126,EIFFAGE ACT,,
392756b2-62de-4f90-b133-e80e12dfc8c8,ESSILORLUXOTTICA,4878,,21.0,"
        [Données non publiées]
    ",81,ESSILORLUXOTTICA,,
392756b2-62de-4f90-b133-e80e12dfc8c8,EUROFINS SCIENTIC,1883,,33.0,"
        [Données non publiées]
    ",33,EUROFINS SCIENTIC,,
392756b2-62de-4f90-b133-e80e12dfc8c8,LVMH MOET HENNESSY,5663,,9.0,"
        [Données non publiées]
    ",115,LVMH MOET HENNESSY,,
392756b2-62de-4f90-b133-e80e12dfc8c8,ORANGE,2335,,209.0,"
        [Données non publiées]
    ",63,ORANGE,,
